,Latin,Basodino
47,"/a.ka.deːˈmiː.a/</span>, <span class=""IPA"">[äkäd̪eːˈmiːä]</span> or <a href=""/wiki/Wiktionary:International_Phonetic_Alphabet"" title=""Wiktionary:International Phonetic Alphabet"">IPA</a><sup>(<a href=""/wiki/Appendix:Latin_pronunciation"" title=""Appendix:Latin pronunciation"">key</a>)</sup>: <span class=""IPA"">/a.kaˈdeː.mi.a/","achademeia<span>, <span class=""IPA"">[äcäd̪emiä]<span> or <a ref=""weciWectionary:Incernascional_Ponescic_Alphabet"" tetle=""Wectionary:Incernascional Ponescic Alphabet"">IPA<a><sop>(<a ref=""weciAppendix:Lascen_prononciascion"" tetle=""Appendix:Lascen prononciascion"">cey<a>)<sop>: <span class=""IPA"">achadîmje"
48,/aˈka.di.a/,achaije
49,/a.kaˈleː.pʰeː/,achalîff
50,/a.karˈnaː.ni.a/,acharnainje
51,/a.ka.taˈlep.si.a/,achasçalepsje
52,/ak.ka.roˈni.ta/,acharonîsce
53,,
54,/akˈkei̯.i̯a/,aiccejje
55,/akˈkep.ta/,accet\te
56,/ak.kiˈden.ti.a/,accedencje
57,/akˈkiː.di.a/,acceije
58,/ak.ki.piˈtriː.na/,acciffetreine
59,/ˈak.ko.la/,achole
60,/ˈak.ku.a/,acque
61,/aˈkeː.di.a/,acîje
62,/aˈker.ni.a/,acernje
63,/aˈker.ra/,acerre
64,/aˈker.rae̯/,acerr
65,,
66,/a.keˈsiː.neːs/,acesein
67,/aˈkes.teːs/,acest
68,,
69,/aˈkʰaː.i.a/,achaie
70,/aˈkʰar.nae̯/,acharn
71,/aˈkʰar.neː/,acharn
72,/aˈkʰaː.teːs/,achasz
73,/ˈa.kʰa.teːs/,achasz
74,,
75,/aˈkʰil.laːs/,acellas
76,,
77,,
78,,
79,/aˈki.ku.la/,acîcle
80,/a.kiːˈda.li.a/,aicidailje
81,/ˈa.ki.na/,acne
82,/akˈmoː.ni.a/,acmûinje
83,/ˈak.neː/,acn
84,/ˈak.nu.a/,acnue
85,/aˈkoe̯.teːs/,acîsz
86,/ˈa.ko.na/,achone
87,,
88,/ˈa.krae̯/,acr
89,/aˈkrae̯.pʰi.a/,acreffie
90,,
91,/aˈkril.lae̯/,acrell
92,/aː.kriˈmoː.ni.a/,acremûinje
93,/a.kri.si.oːˈni.a.deːs/,acrisjoinjad
94,/aːˈkriː.taːs/,acreisças
95,/ˈaːk.ta/,at\te
96,,
97,/ˈak.teː/,at\t
98,/ˈak.teː/,at\t
99,,
100,,
101,/ˈa.ku.la/,acle
102,/a.kuː.puːnkˈtuː.ra/,achuffuncçoure
103,/aˈkuː.ti.a/,achouisce
104,/ˈa.da.da/,adade
105,/aˈdar.ka/,adarche
106,/aˈdar.keː/,adarz
107,,
108,,
109,/ˈad.du.a/,adde
110,/a.deˈoː.na/,aidjûne
111,,
112,/ad.hae̯ˈren.ti.a/,aderencje
113,/adˈhe.li.na/,adelne
114,/a.di.aˈbeː.neː/,aidjabîn
115,/ad.miˈnis.tra/,admenestre
116,,
117,,
118,/a.doˈlen.da/,adolende
119,/aˈdoː.re.a/,adûirje
120,,
121,/ad.peˈten.ti.a/,adpecencje
122,,
123,/ˈad.ra.na/,adrane
124,/ad.riˈaː.na/,aidrjane
125,,
126,,
127,,
128,/ˈa.du.a/,adue
129,/a.duˈaː.tu.ka/,aduatque
130,/a.du.leːsˈken.ti.a/,adulescencje
131,/a.du.lesˈken.tu.la/,adulescentle
132,/aˈdul.te.ra/,adoltre
133,/ˈa.du.na/,adne
134,/ˈad.u̯e.na/,adu̯ene
135,/adˈu̯er.sa/,adverse
136,/ad.u̯erˈsaː.ri.a/,adu̯ersairje
137,,
138,,
139,,
140,/ae̯ˈae̯.a/,eee
141,/ˈae̯.bu.ra/,ebure
142,/ˈae̯.kae̯/,ez
143,/ˈae̯.de.sa/,edese
144,/ae̯ˈdi.ku.la/,edîcle
145,,
146,/ae̯ˈeː.teːs/,eîsz
147,/ˈae̯.fu.la/,efule
148,/ˈae̯.ɡae̯/,eɡ
149,/ˈae̯.ɡi.ae̯/,eɡ
150,/ˈae̯.ɡi.da/,eɡide
151,/ae̯ˈɡiː.deːs/,eɡeid
152,/ae̯ˈɡiː.na/,eɡeine
153,/ae̯.ɡiːˈneː.teːs/,eɡinîsz
154,/ae̯ˈɡiː.ra/,eɡeire
155,/ae̯.ɡriˈmoː.ni.a/,eɡremûinje
156,/ae̯ˈɡuː.sa/,eɡouse
157,,
158,/ae̯ˈmi.li.a/,emîlje
159,/ae̯ˈnaː.ri.a/,enairje
160,/ae̯ˈneː.aːs/,enîas
161,/ae̯ˈnin.ɡi.a/,enenje
162,/ˈae̯.no.na/,enone
163,/ae̯ˈo.li.ae̯/,eol
164,/ae̯.kʷaːˈtoː.ri.a/,ecʷaçûirje
165,/ae̯.kʷi.u̯aˈlen.ti.a/,ecʷibalencje
166,/ˈae̯.ra/,ere
167,/aː.e.rizˈzuː.sa/,aerizzouse
168,/aː.e.ro.manˈtiː.a/,aeromanceie
169,,
170,,
171,/ae̯ˈser.ni.a/,esernje
172,,
173,/ae̯ˈtʰa.li.a/,eçailje
174,/ae̯ˈtʰa.li.deːs/,eçald
175,/ae̯.tʰiˈo.pi.a/,escioipje
176,/ˈae̯.tʰra/,etre
177,/ˈae̯t.na/,etne
178,/ˈae̯t.neː/,etn
179,/ae̯ˈtoː.li.a/,eçûilje
180,/ˈa.fa/,afe
181,/aˈfan.nae̯/,afann
182,/ˈaf.fi.lae̯/,affil
183,,
184,/afˈɡaː.ni.a/,afɡainje
185,/ˈaː.fri.ka/,afriche
186,/aˈfri.ki.a/,afrîce
187,/ˈa.ɡa/,aɡe
188,/ˈa.ɡa.ɡa/,aɡaɡe
189,/aˈɡa.ma.tae̯/,aɡamasz
190,/ˈa.ɡa.peː/,aɡaff
191,/aˈɡa.si.aːs/,aɡaisjas
192,/aˈɡas.sae̯/,aɡass
193,/ˈa.ɡa.tʰa/,aɡasce
194,/a.ɡaˈtʰyr.na/,aɡacyrne
195,/aˈɡeː.a/,aɡîe
